"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"76 s","Overseas Koreans","2011 ","38","18","20",
"76 s","Overseas Koreans","2012 ","64","33","31",
"76 s","Overseas Koreans","2013 ","109","50","59",
"76 s","Overseas Koreans","2014 ","374","101","273",
"76 s","Overseas Koreans","2015 ","461","149","312",
"76 s","Overseas Koreans","2016 ","464","142","322",
"76 s","Overseas Koreans","2017 ","461","150","311",
"76 s","Overseas Koreans","2018 ","464","136","328",
"76 s","Overseas Koreans","2019 ","434","131","303",
"76 s","Permanent Residence","2000 ","0","0","0",
"76 s","Permanent Residence","2001 ","0","0","0",
"76 s","Permanent Residence","2002 ","0","0","0",
"76 s","Permanent Residence","2003 ","2","2","0",
"76 s","Permanent Residence","2004 ","6","0","6",
"76 s","Permanent Residence","2005 ","2","1","1",
"76 s","Permanent Residence","2006 ","3","2","1",
"76 s","Permanent Residence","2007 ","1","1","0",
"76 s","Permanent Residence","2008 ","5","2","3",
"76 s","Permanent Residence","2009 ","6","2","4",
"76 s","Permanent Residence","2010 ","3","1","2",
"76 s","Permanent Residence","2011 ","5","1","4",
"76 s","Permanent Residence","2012 ","5","1","4",
"76 s","Permanent Residence","2013 ","8","2","6",
"76 s","Permanent Residence","2014 ","8","5","3",
"76 s","Permanent Residence","2015 ","8","2","6",
"76 s","Permanent Residence","2016 ","11","7","4",
"76 s","Permanent Residence","2017 ","13","7","6",
"76 s","Permanent Residence","2018 ","14","5","9",
"76 s","Permanent Residence","2019 ","10","7","3",
"76 s","Marriage Immigration","2012 ","2","2","",
"76 s","Marriage Immigration","2013 ","4","2","2",
"76 s","Marriage Immigration","2014 ","4","3","1",
"76 s","Marriage Immigration","2015 ","2","2","0",
"76 s","Marriage Immigration","2016 ","4","3","1",
"76 s","Marriage Immigration","2017 ","5","5","0",
"76 s","Marriage Immigration","2018 ","8","8","0",
"76 s","Marriage Immigration","2019 ","3","3","0",
"77 s","Total","2000 ","104","44","60",
"77 s","Total","2001 ","86","35","51",
"77 s","Total","2002 ","94","34","60",
"77 s","Total","2003 ","71","28","43",
"77 s","Total","2004 ","88","31","57",
"77 s","Total","2005 ","175","54","121",
"77 s","Total","2006 ","170","54","116",
"77 s","Total","2007 ","134","38","96",
"77 s","Total","2008 ","136","45","91",
"77 s","Total","2009 ","106","36","70",
"77 s","Total","2010 ","155","57","98",
"77 s","Total","2011 ","220","72","148",
"77 s","Total","2012 ","289","101","188",
"77 s","Total","2013 ","268","82","186",
"77 s","Total","2014 ","390","110","280",
"77 s","Total","2015 ","454","141","313",
"77 s","Total","2016 ","548","197","351",
"77 s","Total","2017 ","461","129","332",
"77 s","Total","2018 ","490","163","327",
"77 s","Total","2019 ","511","176","335",
"77 s","Sightseeing Pass","2000 ","21","6","15",
"77 s","Sightseeing Pass","2001 ","31","16","15",
"77 s","Sightseeing Pass","2002 ","20","8","12",
"77 s","Sightseeing Pass","2003 ","24","11","13",
"77 s","Sightseeing Pass","2004 ","19","9","10",
"77 s","Sightseeing Pass","2005 ","23","7","16",
"77 s","Sightseeing Pass","2006 ","19","8","11",
"77 s","Sightseeing Pass","2007 ","16","8","8",
"77 s","Sightseeing Pass","2008 ","22","6","16",
"77 s","Sightseeing Pass","2009 ","21","8","13",
"77 s","Sightseeing Pass","2010 ","33","13","20",
"77 s","Sightseeing Pass","2011 ","27","15","12",
"77 s","Sightseeing Pass","2012 ","58","29","29",
"77 s","Sightseeing Pass","2013 ","33","15","18",
"77 s","Sightseeing Pass","2014 ","27","9","18",
"77 s","Sightseeing Pass","2015 ","42","17","25",
"77 s","Sightseeing Pass","2016 ","45","23","22",
"77 s","Sightseeing Pass","2017 ","26","10","16",
"77 s","Sightseeing Pass","2018 ","39","17","22",
"77 s","Sightseeing Pass","2019 ","39","14","25",
"77 s","Short-term Business","2000 ","0","0","0",
"77 s","Short-term Business","2001 ","1","0","1",
"77 s","Short-term Business","2002 ","1","0","1",
"77 s","Short-term Business","2003 ","0","0","0",
"77 s","Short-term Business","2004 ","0","0","0",
"77 s","Short-term Business","2005 ","0","0","0",
"77 s","Short-term Business","2006 ","1","1","0",
"77 s","Short-term Business","2007 ","0","0","0",
"77 s","Short-term Business","2008 ","0","0","0",
"77 s","Short-term Business","2009 ","0","0","0",
"77 s","Short-term Business","2010 ","0","0","0",
"77 s","Short-term Visitors","2000 ","59","27","32",
"77 s","Short-term Visitors","2001 ","28","7","21",
"77 s","Short-term Visitors","2002 ","34","10","24",
"77 s","Short-term Visitors","2003 ","29","9","20",
"77 s","Short-term Visitors","2004 ","47","14","33",
"77 s","Short-term Visitors","2005 ","103","24","79",
"77 s","Short-term Visitors","2006 ","97","26","71",
"77 s","Short-term Visitors","2007 ","58","8","50",
"77 s","Short-term Visitors","2008 ","36","13","23",
"77 s","Short-term Visitors","2009 ","31","4","27",
"77 s","Short-term Visitors","2010 ","60","18","42",
"77 s","Short-term Visitors","2011 ","99","24","75",
"77 s","Short-term Visitors","2012 ","22","8","14",
"77 s","Short-term Visitors","2013 ","21","8","13",
"77 s","Short-term Visitors","2014 ","15","4","11",
"77 s","Short-term Visitors","2015 ","16","8","8",
"77 s","Short-term Visitors","2016 ","17","4","13",
"77 s","Short-term Visitors","2017 ","17","8","9",
"77 s","Short-term Visitors","2018 ","15","3","12",
"77 s","Short-term Visitors","2019 ","18","4","14",
"77 s","Short-term Employment","2000 ","0","0","0",
"77 s","Short-term Employment","2001 ","0","0","0",
"77 s","Short-term Employment","2002 ","0","0","0",
"77 s","Short-term Employment","2003 ","0","0","0",
"77 s","Short-term Employment","2004 ","0","0","0",
"77 s","Short-term Employment","2005 ","0","0","0",
"77 s","Short-term Employment","2006 ","0","0","0",
"77 s","Short-term Employment","2007 ","0","0","0",
"77 s","Short-term Employment","2008 ","0","0","0",
"77 s","Short-term Employment","2009 ","0","0","0",
"77 s","Short-term Employment","2010 ","0","0","0",
"77 s","Job Seeking","2000 ","0","0","0",
"77 s","Job Seeking","2001 ","0","0","0",
"77 s","Job Seeking","2002 ","0","0","0",
"77 s","Job Seeking","2003 ","0","0","0",
"77 s","Job Seeking","2004 ","0","0","0",
"77 s","Job Seeking","2005 ","0","0","0",
"77 s","Job Seeking","2006 ","0","0","0",
"77 s","Job Seeking","2007 ","0","0","0",
"77 s","Job Seeking","2008 ","0","0","0",
"77 s","Job Seeking","2009 ","0","0","0",
"77 s","Job Seeking","2010 ","0","0","0",
"77 s","study","2000 ","0","0","0",
"77 s","study","2001 ","0","0","0",
"77 s","study","2002 ","0","0","0",
"77 s","study","2003 ","0","0","0",
"77 s","study","2004 ","0","0","0",
"77 s","study","2005 ","0","0","0",
"77 s","study","2006 ","0","0","0",
"77 s","study","2007 ","0","0","0",
"77 s","study","2008 ","0","0","0",
"77 s","study","2009 ","0","0","0",
"77 s","study","2010 ","0","0","0",
"77 s","study","2011 ","1","","1",
"77 s","General Trainees","2000 ","0","0","0",
"77 s","General Trainees","2001 ","0","0","0",
"77 s","General Trainees","2002 ","0","0","0",
"77 s","General Trainees","2003 ","0","0","0",
"77 s","General Trainees","2004 ","0","0","0",
"77 s","General Trainees","2005 ","0","0","0",
"77 s","General Trainees","2006 ","0","0","0",
"77 s","General Trainees","2007 ","0","0","0",
"77 s","General Trainees","2008 ","0","0","0",
"77 s","General Trainees","2009 ","0","0","0",
"77 s","General Trainees","2010 ","0","0","0",
"77 s","Religious Activities","2000 ","0","0","0",
"77 s","Religious Activities","2001 ","0","0","0",
"77 s","Religious Activities","2002 ","3","0","3",
"77 s","Religious Activities","2003 ","0","0","0",
"77 s","Religious Activities","2004 ","0","0","0",
"77 s","Religious Activities","2005 ","2","2","0",
"77 s","Religious Activities","2006 ","1","1","0",
"77 s","Religious Activities","2007 ","2","1","1",
"77 s","Religious Activities","2008 ","0","0","0",
"77 s","Religious Activities","2009 ","0","0","0",
"77 s","Religious Activities","2010 ","0","0","0",
"77 s","Religious Activities","2011 ","2","2","",
"77 s","Religious Activities","2014 ","2","2","0",
"77 s","Religious Activities","2015 ","1","0","1",
"77 s","Religious Activities","2017 ","3","2","1",
"77 s","Religious Activities","2019 ","1","1","0",
"77 s","Investors","2000 ","0","0","0",
"77 s","Investors","2001 ","0","0","0",
"77 s","Investors","2002 ","0","0","0",
"77 s","Investors","2003 ","1","1","0",
"77 s","Investors","2004 ","0","0","0",
"77 s","Investors","2005 ","0","0","0",
"77 s","Investors","2006 ","0","0","0",
"77 s","Investors","2007 ","0","0","0",
"77 s","Investors","2008 ","0","0","0",
"77 s","Investors","2009 ","0","0","0",
"77 s","Investors","2010 ","0","0","0",
"77 s","Trade and Business","2000 ","0","0","0",
"77 s","Trade and Business","2001 ","1","1","0",
"77 s","Trade and Business","2002 ","0","0","0",
"77 s","Trade and Business","2003 ","0","0","0",
"77 s","Trade and Business","2004 ","0","0","0",
"77 s","Trade and Business","2005 ","0","0","0",
"77 s","Trade and Business","2006 ","0","0","0",
"77 s","Trade and Business","2007 ","0","0","0",
"77 s","Trade and Business","2008 ","0","0","0",
"77 s","Trade and Business","2009 ","0","0","0",
"77 s","Trade and Business","2010 ","0","0","0",
"77 s","Trade and Business","2019 ","1","1","0",
"77 s","Research","2000 ","0","0","0",
"77 s","Research","2001 ","0","0","0",
"77 s","Research","2002 ","0","0","0",
"77 s","Research","2003 ","0","0","0",
"77 s","Research","2004 ","0","0","0",
"77 s","Research","2005 ","0","0","0",
"77 s","Research","2006 ","1","1","0",
"77 s","Research","2007 ","1","1","0",
"77 s","Research","2008 ","0","0","0",
"77 s","Research","2009 ","0","0","0",
"77 s","Research","2010 ","0","0","0",
"77 s","Research","2019 ","1","1","0",
"77 s","Art and Entertainment","2000 ","0","0","0",
"77 s","Art and Entertainment","2001 ","0","0","0",
"77 s","Art and Entertainment","2002 ","0","0","0",
"77 s","Art and Entertainment","2003 ","0","0","0",
"77 s","Art and Entertainment","2004 ","0","0","0",
"77 s","Art and Entertainment","2005 ","0","0","0",
"77 s","Art and Entertainment","2006 ","0","0","0",
"77 s","Art and Entertainment","2007 ","0","0","0",
"77 s","Art and Entertainment","2008 ","0","0","0",
"77 s","Art and Entertainment","2009 ","0","0","0",
"77 s","Art and Entertainment","2010 ","0","0","0",
"77 s","Unskilled Employment","2000 ","0","0","0",
"77 s","Unskilled Employment","2001 ","0","0","0",
"77 s","Unskilled Employment","2002 ","0","0","0",
"77 s","Unskilled Employment","2003 ","0","0","0",
"77 s","Unskilled Employment","2004 ","0","0","0",
"77 s","Unskilled Employment","2005 ","0","0","0",
"77 s","Unskilled Employment","2006 ","0","0","0",
"77 s","Unskilled Employment","2007 ","0","0","0",
"77 s","Unskilled Employment","2008 ","0","0","0",
"77 s","Unskilled Employment","2009 ","0","0","0",
"77 s","Unskilled Employment","2010 ","0","0","0",
"77 s","Visiting and Joining Family","2000 ","9","3","6",
"77 s","Visiting and Joining Family","2001 ","13","7","6",
"77 s","Visiting and Joining Family","2002 ","15","5","10",
"77 s","Visiting and Joining Family","2003 ","7","1","6",
"77 s","Visiting and Joining Family","2004 ","8","3","5",
"77 s","Visiting and Joining Family","2005 ","24","11","13",
"77 s","Visiting and Joining Family","2006 ","28","4","24",
"77 s","Visiting and Joining Family","2007 ","26","11","15",
"77 s","Visiting and Joining Family","2008 ","21","15","6",
"77 s","Visiting and Joining Family","2009 ","18","7","11",
"77 s","Visiting and Joining Family","2010 ","3","2","1",
"77 s","Visiting and Joining Family","2011 ","22","10","12",
"77 s","Visiting and Joining Family","2012 ","124","28","96",
"77 s","Visiting and Joining Family","2013 ","106","16","90",
"77 s","Visiting and Joining Family","2014 ","17","2","15",
"77 s","Visiting and Joining Family","2015 ","7","4","3",
"77 s","Visiting and Joining Family","2016 ","7","6","1",
"77 s","Visiting and Joining Family","2017 ","4","0","4",
"77 s","Visiting and Joining Family","2018 ","4","3","1",
"77 s","Visiting and Joining Family","2019 ","2","2","0",
"77 s","Overseas Koreans","2000 ","4","3","1",
"77 s","Overseas Koreans","2001 ","3","1","2",
"77 s","Overseas Koreans","2002 ","1","0","1",
"77 s","Overseas Koreans","2003 ","5","2","3",
"77 s","Overseas Koreans","2004 ","4","2","2",
"77 s","Overseas Koreans","2005 ","8","3","5",
"77 s","Overseas Koreans","2006 ","7","4","3",
"77 s","Overseas Koreans","2007 ","7","4","3",
"77 s","Overseas Koreans","2008 ","6","3","3",
"77 s","Overseas Koreans","2009 ","12","6","6",
"77 s","Overseas Koreans","2010 ","22","11","11",
"77 s","Overseas Koreans","2011 ","32","14","18",
"77 s","Overseas Koreans","2012 ","43","19","24",
"77 s","Overseas Koreans","2013 ","87","33","54",
"77 s","Overseas Koreans","2014 ","303","87","216",
"77 s","Overseas Koreans","2015 ","364","101","263",
"77 s","Overseas Koreans","2016 ","455","151","304",
"77 s","Overseas Koreans","2017 ","384","94","290",
"77 s","Overseas Koreans","2018 ","414","134","280",
"77 s","Overseas Koreans","2019 ","420","139","281",
"77 s","Permanent Residence","2000 ","0","0","0",
"77 s","Permanent Residence","2001 ","0","0","0",
"77 s","Permanent Residence","2002 ","0","0","0",
"77 s","Permanent Residence","2003 ","0","0","0",
"77 s","Permanent Residence","2004 ","4","2","2",
"77 s","Permanent Residence","2005 ","1","0","1",
"77 s","Permanent Residence","2006 ","3","1","2",
"77 s","Permanent Residence","2007 ","2","0","2",
"77 s","Permanent Residence","2008 ","1","1","0",
"77 s","Permanent Residence","2009 ","2","2","0",
"77 s","Permanent Residence","2010 ","8","2","6",
"77 s","Permanent Residence","2011 ","10","1","9",
"77 s","Permanent Residence","2012 ","9","4","5",
"77 s","Permanent Residence","2013 ","11","3","8",
"77 s","Permanent Residence","2014 ","12","2","10",
"77 s","Permanent Residence","2015 ","8","2","6",
"77 s","Permanent Residence","2016 ","11","4","7",
"77 s","Permanent Residence","2017 ","15","8","7",
"77 s","Permanent Residence","2018 ","6","1","5",
"77 s","Permanent Residence","2019 ","10","3","7",
"77 s","Marriage Immigration","2011 ","1","1","",
"77 s","Marriage Immigration","2012 ","1","","1",
"77 s","Marriage Immigration","2014 ","3","1","2",
"77 s","Marriage Immigration","2015 ","6","4","2",
"77 s","Marriage Immigration","2016 ","1","1","0",
"77 s","Marriage Immigration","2017 ","4","3","1",
"77 s","Marriage Immigration","2018 ","1","1","0",
"77 s","Marriage Immigration","2019 ","9","6","3",
"78 s","Total","2000 ","69","42","27",
"78 s","Total","2001 ","68","36","32",
"78 s","Total","2002 ","61","28","33",
"78 s","Total","2003 ","63","18","45",
"78 s","Total","2004 ","81","35","46",
"78 s","Total","2005 ","138","46","92",
"78 s","Total","2006 ","129","51","78",
"78 s","Total","2007 ","116","28","88",
"78 s","Total","2008 ","136","37","99",
"78 s","Total","2009 ","88","37","51",
"78 s","Total","2010 ","129","51","78",
"78 s","Total","2011 ","196","85","111",
"78 s","Total","2012 ","231","80","151",
"78 s","Total","2013 ","220","76","144",
"78 s","Total","2014 ","315","96","219",
"78 s","Total","2015 ","403","107","296",
"78 s","Total","2016 ","454","136","318",
"78 s","Total","2017 ","447","138","309",
"78 s","Total","2018 ","463","145","318",
"78 s","Total","2019 ","497","158","339",
"78 s","Sightseeing Pass","2000 ","18","10","8",
"78 s","Sightseeing Pass","2001 ","24","15","9",
"78 s","Sightseeing Pass","2002 ","19","9","10",
"78 s","Sightseeing Pass","2003 ","19","7","12",
"78 s","Sightseeing Pass","2004 ","18","7","11",
"78 s","Sightseeing Pass","2005 ","21","7","14",
"78 s","Sightseeing Pass","2006 ","19","12","7",
"78 s","Sightseeing Pass","2007 ","11","4","7",
"78 s","Sightseeing Pass","2008 ","12","5","7",
"78 s","Sightseeing Pass","2009 ","11","5","6",
"78 s","Sightseeing Pass","2010 ","28","12","16",
"78 s","Sightseeing Pass","2011 ","33","14","19",
"78 s","Sightseeing Pass","2012 ","52","23","29",
"78 s","Sightseeing Pass","2013 ","36","16","20",
"78 s","Sightseeing Pass","2014 ","18","10","8",
"78 s","Sightseeing Pass","2015 ","41","14","27",
"78 s","Sightseeing Pass","2016 ","50","24","26",
"78 s","Sightseeing Pass","2017 ","26","17","9",
"78 s","Sightseeing Pass","2018 ","35","20","15",
"78 s","Sightseeing Pass","2019 ","29","11","18",
"78 s","Short-term Business","2000 ","1","0","1",
"78 s","Short-term Business","2001 ","3","2","1",
"78 s","Short-term Business","2002 ","1","0","1",
"78 s","Short-term Business","2003 ","0","0","0",
"78 s","Short-term Business","2004 ","2","1","1",
"78 s","Short-term Business","2005 ","3","1","2",
"78 s","Short-term Business","2006 ","1","1","0",
"78 s","Short-term Business","2007 ","1","0","1",
"78 s","Short-term Business","2008 ","0","0","0",
"78 s","Short-term Business","2009 ","0","0","0",
"78 s","Short-term Business","2010 ","0","0","0",
"78 s","Short-term Visitors","2000 ","40","25","15",
"78 s","Short-term Visitors","2001 ","22","10","12",
"78 s","Short-term Visitors","2002 ","23","8","15",
"78 s","Short-term Visitors","2003 ","28","5","23",
"78 s","Short-term Visitors","2004 ","41","14","27",
"78 s","Short-term Visitors","2005 ","72","15","57",
"78 s","Short-term Visitors","2006 ","74","22","52",
"78 s","Short-term Visitors","2007 ","49","10","39",
"78 s","Short-term Visitors","2008 ","34","2","32",
